wijken;jaar;gasverbruik_tempgecorr;elektriciteitsverbruik
Burgwallen-Oude Zijde;2008;3,1;5,5
Burgwallen-Oude Zijde;2009;3,0;5,6
Burgwallen-Oude Zijde;2010;2,8;5,6
Burgwallen-Oude Zijde;2011;2,8;5,6
Burgwallen-Oude Zijde;2012;2,9;5,8
Burgwallen-Oude Zijde;2013;3,0;6,0
Burgwallen-Oude Zijde;2014;3,0;5,9
Burgwallen-Oude Zijde;2015;2,9;5,9
Burgwallen-Oude Zijde;2016;3,1;5,9
Burgwallen-Oude Zijde;2017;3,0;5,6
Burgwallen-Oude Zijde;2018;2,9;5,5
Burgwallen-Oude Zijde;2019;3,0;5,5
Burgwallen-Nieuwe Zijde;2008;3,0;5,3
Burgwallen-Nieuwe Zijde;2009;2,9;5,5
Burgwallen-Nieuwe Zijde;2010;2,7;5,4
Burgwallen-Nieuwe Zijde;2011;2,7;5,4
Burgwallen-Nieuwe Zijde;2012;2,8;5,6
Burgwallen-Nieuwe Zijde;2013;2,9;5,8
Burgwallen-Nieuwe Zijde;2014;2,8;5,7
Burgwallen-Nieuwe Zijde;2015;2,8;5,7
Burgwallen-Nieuwe Zijde;2016;2,9;5,9
Burgwallen-Nieuwe Zijde;2017;2,9;5,7
Burgwallen-Nieuwe Zijde;2018;2,8;5,6
Burgwallen-Nieuwe Zijde;2019;3,0;5,6
Grachtengordel-West;2008;4,7;8,4
Grachtengordel-West;2009;4,6;8,7
Grachtengordel-West;2010;4,3;8,6
Grachtengordel-West;2011;4,3;8,6
Grachtengordel-West;2012;4,4;8,9
Grachtengordel-West;2013;4,6;9,2
Grachtengordel-West;2014;4,5;9,0
Grachtengordel-West;2015;4,4;8,9
Grachtengordel-West;2016;5,8;10,9
Grachtengordel-West;2017;5,6;10,7
Grachtengordel-West;2018;5,7;10,5
Grachtengordel-West;2019;5,9;10,6
Grachtengordel-Zuid;2008;3,7;6,6
Grachtengordel-Zuid;2009;3,6;6,7
Grachtengordel-Zuid;2010;3,3;6,7
Grachtengordel-Zuid;2011;3,4;6,7
Grachtengordel-Zuid;2012;3,4;6,9
Grachtengordel-Zuid;2013;3,5;7,1
Grachtengordel-Zuid;2014;3,5;7,0
Grachtengordel-Zuid;2015;3,4;6,9
Grachtengordel-Zuid;2016;4,3;8,2
Grachtengordel-Zuid;2017;4,3;8,1
Grachtengordel-Zuid;2018;4,3;8,2
Grachtengordel-Zuid;2019;4,5;8,3
Nieuwmarkt/Lastage;2008;6,3;11,3
Nieuwmarkt/Lastage;2009;6,1;11,6
Nieuwmarkt/Lastage;2010;5,8;11,5
Nieuwmarkt/Lastage;2011;5,8;11,6
Nieuwmarkt/Lastage;2012;5,9;11,9
Nieuwmarkt/Lastage;2013;6,4;12,9
Nieuwmarkt/Lastage;2014;6,3;12,6
Nieuwmarkt/Lastage;2015;6,1;12,6
Nieuwmarkt/Lastage;2016;5,2;12,3
Nieuwmarkt/Lastage;2017;5,2;12,2
Nieuwmarkt/Lastage;2018;5,5;11,7
Nieuwmarkt/Lastage;2019;5,6;11,5
Haarlemmerbuurt;2008;6,0;10,7
