niveau;niveaunaam;gebiedcode15;gebiednaam
1;Amsterdam;STAD;Amsterdam
2;Stadsdelen;A;Centrum
2;Stadsdelen;B;Westpoort
2;Stadsdelen;E;West
2;Stadsdelen;F;Nieuw-West
2;Stadsdelen;K;Zuid
2;Stadsdelen;M;Oost
2;Stadsdelen;N;Noord
2;Stadsdelen;T;Zuidoost
2;Stadsdelen;Z;onbekend
3;22 gebieden;DX01;Centrum-West
3;22 gebieden;DX02;Centrum-Oost
3;22 gebieden;DX03;Westerpark
3;22 gebieden;DX04;Bos en Lommer
3;22 gebieden;DX05;Oud-West, De Baarsjes
3;22 gebieden;DX06;Geuzenveld, Slotermeer, Sloterdijken
3;22 gebieden;DX07;Osdorp
3;22 gebieden;DX08;De Aker, Sloten, Nieuw-Sloten
3;22 gebieden;DX09;Slotervaart
3;22 gebieden;DX10;Oud-Zuid
3;22 gebieden;DX11;Buitenveldert, Zuidas
3;22 gebieden;DX12;De Pijp, Rivierenbuurt
3;22 gebieden;DX13;Oud-Oost
3;22 gebieden;DX14;Indische Buurt, Oostelijk Havengebied
3;22 gebieden;DX15;Watergraafsmeer
3;22 gebieden;DX16;IJburg, Zeeburgereiland
3;22 gebieden;DX17;Noord-West
3;22 gebieden;DX18;Oud-Noord
3;22 gebieden;DX19;Noord-Oost
3;22 gebieden;DX20;Bijlmer-Centrum, Amstel III
3;22 gebieden;DX21;Bijlmer-Oost
3;22 gebieden;DX22;Gaasperdam, Driemond
3;22 gebieden;ZX99;buiten beschouwing
4;Wijken;A00;Burgwallen-Oude Zijde
4;Wijken;A01;Burgwallen-Nieuwe Zijde
4;Wijken;A02;Grachtengordel-West
4;Wijken;A03;Grachtengordel-Zuid
4;Wijken;A04;Nieuwmarkt/Lastage
4;Wijken;A05;Haarlemmerbuurt
4;Wijken;A06;Jordaan
4;Wijken;A07;De Weteringschans
4;Wijken;A08;Weesperbuurt/Plantage
4;Wijken;A09;Oostelijke Eilanden/Kadijken
4;Wijken;B10;Westelijk Havengebied
4;Wijken;E12;Houthavens
4;Wijken;E13;Spaarndammer- en Zeeheldenbuurt
4;Wijken;E14;Staatsliedenbuurt
4;Wijken;E15;Centrale Markt
4;Wijken;E16;Frederik Hendrikbuurt
4;Wijken;E17;Da Costabuurt
4;Wijken;E18;Kinkerbuurt
4;Wijken;E19;Van Lennepbuurt
4;Wijken;E20;Helmersbuurt
4;Wijken;E21;Overtoomse Sluis
4;Wijken;E22;Vondelbuurt
4;Wijken;E36;Sloterdijk
4;Wijken;E37;Landlust
4;Wijken;E38;Erasmuspark
4;Wijken;E39;De Kolenkit
4;Wijken;E40;Geuzenbuurt
4;Wijken;E41;Van Galenbuurt
4;Wijken;E42;Hoofdweg e.o.
4;Wijken;E43;Westindische Buurt
4;Wijken;E75;ChassÃ¯Â¿Â½buurt
4;Wijken;F11;Bedrijventerrein Sloterdijk
4;Wijken;F76;Slotermeer-Noordoost
4;Wijken;F77;Slotermeer-Zuidwest
4;Wijken;F78;Geuzenveld
4;Wijken;F79;Eendracht
4;Wijken;F80;Lutkemeer/Ookmeer
4;Wijken;F81;Osdorp-Oost
4;Wijken;F82;Osdorp-Midden
4;Wijken;F83;De Punt
4;Wijken;F84;Middelveldsche Akerpolder
4;Wijken;F85;Slotervaart Noord
4;Wijken;F86;Overtoomse Veld
4;Wijken;F87;Westlandgracht
4;Wijken;F88;Sloter/Riekerpolder
4;Wijken;F89;Slotervaart Zuid
4;Wijken;K23;Zuidas
4;Wijken;K24;Oude Pijp
4;Wijken;K25;Nieuwe Pijp
4;Wijken;K26;Zuid Pijp
4;Wijken;K44;Hoofddorppleinbuurt
4;Wijken;K45;Schinkelbuurt
4;Wijken;K46;Willemspark
4;Wijken;K47;Museumkwartier
4;Wijken;K48;Stadionbuurt
4;Wijken;K49;Apollobuurt
4;Wijken;K52;Scheldebuurt
4;Wijken;K53;IJselbuurt
4;Wijken;K54;Rijnbuurt
4;Wijken;K59;Prinses Irenebuurt e.o.
4;Wijken;K90;Buitenveldert-West
4;Wijken;K91;Buitenveldert-Oost
4;Wijken;M27;Weesperzijde
4;Wijken;M28;Oosterparkbuurt
4;Wijken;M29;Dapperbuurt
4;Wijken;M30;Transvaalbuurt
4;Wijken;M31;Indische Buurt West
4;Wijken;M32;Indische Buurt Oost
4;Wijken;M33;Oostelijk Havengebied
4;Wijken;M34;Zeeburgereiland/Nieuwe diep
4;Wijken;M35;IJburg West
4;Wijken;M50;IJburg Oost
4;Wijken;M51;IJburg Zuid
4;Wijken;M55;Frankendael
4;Wijken;M56;Middenmeer
4;Wijken;M57;Betondorp
4;Wijken;M58;Omval/Overamstel
4;Wijken;N60;Volewijck
4;Wijken;N61;IJplein/Vogelbuurt
4;Wijken;N62;Tuindorp Nieuwendam
4;Wijken;N63;Tuindorp Buiksloot
4;Wijken;N64;Nieuwendammerdijk/Buiksloterdijk
4;Wijken;N65;Tuindorp Oostzaan
4;Wijken;N66;Oostzanerwerf
4;Wijken;N67;Kadoelen
4;Wijken;N68;Waterlandpleinbuurt
4;Wijken;N69;Buikslotermeer
4;Wijken;N70;Banne Buiksloot
4;Wijken;N71;Noordelijke IJ-oevers West
4;Wijken;N72;Noordelijke IJ-oevers Oost
4;Wijken;N73;Waterland
4;Wijken;N74;Elzenhagen
4;Wijken;T92;Amstel III/Bullewijk
4;Wijken;T93;Bijlmer-Centrum (D,F,H)
4;Wijken;T94;Bijlmer-Oost (E,G,K)
4;Wijken;T95;Nellestein
4;Wijken;T96;Holendrecht/Reigersbos
4;Wijken;T97;Gein
4;Wijken;T98;Driemond
4;Wijken;Z99;buiten beschouwing
5;Alternatieve buurtindeling 2015;AS01;Westelijke Eilanden
5;Alternatieve buurtindeling 2015;AS02;Westerdok en IJdok
5;Alternatieve buurtindeling 2015;AS03;Haarlemmerbuurt
5;Alternatieve buurtindeling 2015;AS04;Westelijke Grachtengordel
5;Alternatieve buurtindeling 2015;AS05;Noordelijke Jordaan
